Date,Year,Month,Quarter,Branch,ProductCategory,ProductName,UnitsSold,UnitPrice,TotalSales,COGS,Profit Margin,GrossProfit,OperatingExpenses,Expense Ratio,NetProfit,PaymentMethod,Region
11-10-2023,2023,10,Q4,Store_4,Home Decor,Curtains,2,213.28,426.56,257.24,39.69%,169.32,94.97,22.26%,74.35,Card,South
09-11-2022,2022,11,Q4,Store_1,Toys,Board Game,4,496.94,1987.76,1451.78,26.96%,535.98,420.66,21.16%,115.32,Cash,South
21-08-2024,2024,8,Q3,Store_7,Home Decor,Sofa,8,79.21,633.68,311.58,50.83%,322.10,154.90,24.44%,167.20,Card,North
13-09-2022,2022,9,Q3,Store_1,Home Decor,Chair,10,210.96,2109.60,1129.56,46.46%,980.04,242.03,11.47%,738.01,Digital Wallet,East
11-11-2022,2022,11,Q4,Store_9,Electronics,Smartphone,17,377.58,6418.86,4782.02,25.50%,1636.84,1666.28,25.96%,-29.44,Card,West
11-08-2023,2023,8,Q3,Store_1,Groceries,Rice,2,314.01,628.02,406.72,35.24%,221.30,158.60,25.25%,62.70,Cash,North
16-10-2023,2023,10,Q4,Store_7,Clothing,Shirt,4,451.9,1807.60,1218.73,32.58%,588.87,275.78,15.26%,313.09,Card,West
08-02-2023,2023,2,Q1,Store_7,Electronics,Smartphone,19,415.81,7900.39,4557.8,42.31%,3342.59,1237.81,15.67%,2104.78,Cash,South
08-03-2022,2022,3,Q1,Store_5,Clothing,Shoes,13,24.37,316.81,168.15,46.92%,148.66,87.97,27.77%,60.69,Digital Wallet,West
18-10-2024,2024,10,Q4,Store_7,Clothing,Jacket,18,327.12,5888.16,4273.67,27.42%,1614.49,1126.56,19.13%,487.93,Digital Wallet,North
06-06-2024,2024,6,Q2,Store_7,Home Decor,Chair,7,132.45,927.15,635.84,31.42%,291.31,125.20,13.50%,166.11,Card,South
15-04-2022,2022,4,Q2,Store_4,Groceries,Fruits,18,437.9,7882.20,5276.42,33.06%,2605.78,979.77,12.43%,1626.01,Card,East
15-02-2022,2022,2,Q1,Store_2,Electronics,Laptop,4,349.39,1397.56,740.46,47.02%,657.10,200.98,14.38%,456.12,Digital Wallet,South
03-01-2022,2022,1,Q1,Store_2,Clothing,Shoes,7,359.11,2513.77,1278.14,49.15%,1235.63,633.64,25.21%,601.99,Card,South
12-10-2023,2023,10,Q4,Store_9,Sports,Football,12,456.46,5477.52,2199.17,59.85%,3278.35,1071.55,19.56%,2206.80,Digital Wallet,South
19-04-2022,2022,4,Q2,Store_8,Groceries,Milk,14,43.56,609.84,424.37,30.41%,185.47,78.94,12.94%,106.53,Card,West
17-09-2024,2024,9,Q3,Store_5,Groceries,Eggs,3,121.11,363.33,227.95,37.26%,135.38,73.89,20.34%,61.49,Digital Wallet,West
14-05-2024,2024,5,Q2,Store_3,Toys,Doll,5,94.12,470.60,201.72,57.14%,268.88,93.37,19.84%,175.51,Cash,North
